rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
251,Tokyo Institute of Technology,9752,7.7,13,15,51.2,51.8,37.4,69.3,40.5,46.89
251,Western Sydney University,32259,35.7,17,56,23.5,29.1,82.8,40.4,83.7,47.9075
301,Aix-Marseille University,67857,16.6,12,59,41.3,25.3,67.1,36.8,60.5,45.5675
301,Anglia Ruskin University,18022,23.1,30,63,17.9,14.4,99.9,35.1,83.7,46.815
301,Beijing Normal University,23524,15.4,11,,46.5,39.6,48.6,57.1,42.9,45.055
301,Boston College,12904,15.7,11,55,36.7,33.7,69.2,34.4,42.3,45.9125
301,University of Canterbury,13089,18,24,50,24.3,27.2,72.7,38.5,93.1,45.205
301,Colorado School of Mines,5768,16.7,11,29,30.1,25.1,79.6,46.6,42.1,44.7625
301,Cyprus University of Technology,3228,17.4,8,54,17.2,16.3,98,35.3,72,45.7325
301,Deakin University,39305,28.6,22,58,23.8,29.6,73.5,40.6,85.2,45.475
301,University of Fribourg,10887,32.3,18,59,31.8,32.4,64.7,54.1,87.3,46.57
301,Goethe University Frankfurt,47141,19.6,15,57,31.7,29.5,75.6,43.2,59.9,46.6125
301,Grenoble Alpes University,41411,17.6,13,52,34,30.4,69.7,36,59.9,45.6225
301,Huazhong University of Science and Technology,56379,16.5,5,36,41,39.1,59.8,90.4,25.8,46.165
301,Indian Institute of Science,4128,9.6,1,23,58.6,55.3,32.4,57.1,20.2,46.8325
301,Indian Institute of Technology Ropar,1119,7.6,0,13,28.1,12.8,100,36.2,18,44.525
301,Jacobs University,1142,16.2,76,45,40.6,33.2,50.7,55.1,88.7,45.38
301,Johannes Gutenberg University of Mainz,31919,26.9,11,59,35.2,22.6,77.4,68.9,56.7,46.535
301,University of Klagenfurt,3639,10.8,22,69,25.3,16.5,86.5,37.2,87.3,45.9675
301,Kyung Hee University,22102,17.3,22,51,33.8,40.5,56.4,84.9,62.6,46.0275
301,University of Liège,20888,27,21,56,27.6,38.2,60.5,95.9,70.6,45.5825
301,University of Macau,9340,14.4,37,57,32.3,32.6,61.9,41,98.5,46.4525
301,University of Malaya,15140,8,20,63,41.6,30.5,56.6,48.1,81.6,45.9325
301,University of Marburg,25541,34.7,12,55,33.8,29.1,73.4,39.1,53.6,45.8875
301,Maynooth University,9291,28.3,12,55,20.3,29.8,80.3,37.3,78.2,45.9175
301,University of Milan,45451,21.4,6,59,35.9,28.9,72.2,37.7,42.6,45.2375
301,Montpellier University,39405,19.5,15,53,36.3,27.1,67.1,37.3,61.6,44.7025
301,Nagoya University,15676,9.2,11,30,47.8,47.8,43.4,76.8,32.8,46.08
301,University of Newcastle,22100,20.7,18,55,24.5,28.3,76.6,49.9,83.1,46.3
301,University of New Mexico (Main campus)  ,19382,17.1,5,55,29.2,31.8,83.6,37.4,33.2,46.805
301,North Carolina State University,30231,12.5,15,45,36.7,35.3,64.7,43.2,57.8,46.425
301,Nova Southeastern University,17785,23.4,6,69,33.8,10.3,99.5,34.4,29.5,46.1525
301,Osaka University,22892,7.4,11,32,51.5,49,34.6,63,36,44.805
301,Polytechnic University of Milan,35184,25,17,34,33.1,35.2,59.6,72.5,59,44.6075
301,Reykjavík University,2879,24.9,8,41,14.4,18.2,100,36.5,64.1,45.5
301,Rush University,2425,2,1,74,37.2,12.9,92.1,41.3,19.7,45.17
301,Southern University of Science and Technology (SUSTech),3198,9.5,0,27,23.9,23.5,85.3,70.5,59.7,46.05
301,Stony Brook University,24201,10.5,23,50,34.4,23.5,77,36.1,71.5,46.735
301,Swedish University of Agricultural Sciences,3737,4.5,4,69,31.1,29.5,73.5,94.8,47.6,46.17
301,University of Tartu,8532,11.6,8,68,26.8,27.1,82.4,37.5,55.4,45.9825
301,University of Tasmania,18219,24.9,30,60,26,33.7,63,50.1,88.2,44.6775
301,Temple University,35814,13,9,53,39.3,23.5,79.3,34.4,37.7,46.3175
301,The University of Tennessee-Knoxville,25907,16.8,5,,32.9,23.4,80.3,43.9,45.7,45.505
301,University of Texas at Dallas,22757,21.6,25,43,23.7,29.3,82.1,39.9,60.2,46.0425
301,University of Trento,12920,19.5,7,51,27.7,31.7,77.8,41.5,57.7,46.525
301,Tulane University,11185,9.8,11,57,42.3,24.1,72.7,37,41.9,45.7975
301,Umeå University,17373,12.5,11,60,23.5,28.5,79.1,36.2,63.4,44.99
301,United Arab Emirates University,7523,9.2,21,83,23.7,19.1,84.7,43.3,91.6,46.2025
301,Università della Svizzera Italiana,2768,10.8,67,49,24.6,21.9,74.6,44,99.6,44.9
301,University College Cork,16861,18,18,58,24.9,23.1,77.5,44.5,81.3,44.86
301,Victoria University,14815,32.2,23,53,24,26,75.3,42.8,77.9,44.5025
351,University of Alaska Fairbanks,3593,8.7,5,51,27.5,25,72.5,43.8,53.9,42.6375
351,American University of Beirut,8401,8.5,21,51,28.7,14.9,77.1,36.7,78.2,42.9925
351,Australian Catholic University,23886,43.5,12,73,20.6,27.5,73.4,39.4,74.3,43.0075
351,Babol Noshirvani University of Technology,5744,29.6,0,32,15.3,21.2,99.8,42.2,17.1,43.2275
351,University of Bayreuth,9255,29.7,10,46,34.7,34.5,55.8,59.9,55.4,43.1525
351,"Birkbeck, University of London",8631,15.8,38,54,27.6,31.5,62.8,34.5,87.4,43.9875
351,University of Bremen,18915,31.9,12,51,36.9,36.1,56,49,55.7,44.1025
351,Brunel University London,10961,16.3,36,47,26.9,26.9,63.2,36.8,95.3,43.1675
351,"University of California, Merced",7324,20.9,8,51,17.1,21.6,95.3,38,42.4,44.33
351,Catholic University of Portugal,10998,26.7,10,60,18.3,15,94.6,35.9,47.4,42.8225
351,Clark University,3045,11.5,23,60,24,22.7,79.3,34.4,57.5,42.9725
351,University of Connecticut,32446,15.2,9,53,36.5,29.7,60.6,37.9,49,42.6625
351,University of Crete,13321,23.4,4,62,17.7,20.1,91.4,38.7,48,43.3275
351,University of Denver,9535,13,9,57,40.5,22.3,75.4,35.8,27.8,44.44
351,University of Florence,34686,20.4,11,59,37.9,25.1,65.8,42.3,46.2,43.1625
351,"Goldsmiths, University of London",8486,15.3,35,66,33.8,28.6,60.4,35.1,79.4,43.6725
351,Hanyang University,20087,15.7,21,,39.1,40,40.1,92.3,62.3,42.74
351,Hasselt University,5189,31.1,13,47,28.3,38.1,56.6,49.7,68.1,43.25
351,Hofstra University,10066,13.9,9,57,38.4,13.2,79.3,34.4,29.8,42.365
351,University of Iceland,8135,13.9,12,67,19.5,30,75,62.7,63.6,43.6875
351,IMT Atlantique,1676,8.2,44,26,34.4,28.5,53.1,91.6,75.2,42.73
351,Indian Institute of Technology Indore,1128,9.7,0,17,32.5,23.7,77.1,39.9,19.7,42.465
351,Iowa State University,32469,18.8,12,44,29.5,33,60.5,49.6,56.7,42.3925
351,Jordan University of Science and Technology,21512,13.4,17,58,15.8,9,100,40.2,62.3,43.1175
351,Justus Liebig University Giessen,28575,46.8,9,62,37.7,34.1,53.8,41.6,53.9,42.7625
351,University of Kent,17754,20,31,53,24.1,28.4,67.9,35,91.5,43.8575
351,Khalifa University,3651,9.5,26,55,27.7,32.9,54,100,95.4,44.035
351,Loughborough University,14749,14.3,25,40,33.8,34.3,52.9,39,80.1,43.2825
351,University of Manitoba,29311,29.4,17,53,28,30.8,69.9,36.5,53.4,43.5275
351,Nankai University,28061,13.3,7,,35.7,21.8,75.8,41.5,35.4,43.6825
351,University of Naples Federico II,49604,19.6,2,55,35.4,23.4,71.9,38.2,31.2,42.505
351,National Tsing Hua University,14853,18,10,42,35.4,46.2,50.1,64.8,36.2,43.845
351,Northumbria University,21811,17.5,17,55,19.4,18.1,85.6,35.1,72.4,43.2375
351,"University of Occupational and Environmental Health, Japan",1142,2.6,1,54,26.9,9.6,99.8,40.2,18.1,43.2525
351,Örebro University,9735,18.5,6,61,17.6,21.1,88.7,36,52.2,43.035
351,Oregon State University,24798,16,11,46,30.9,30.1,67.2,37.7,52.9,43.37
351,University of Perugia,24830,32.3,6,57,18.6,22.8,87.5,45.2,44.6,43.145
351,University of Pisa,33726,22.4,6,51,31.2,26.5,74.3,40.5,40.9,43.68
351,RMIT University,33848,22.4,30,47,25.7,26.1,64.5,42.5,91.8,42.8375
351,University of Salerno,24290,25.8,2,56,20.2,19.5,94,37.3,33.9,43.585
351,State University of New York Albany,15947,16.6,10,52,24,35.4,72.8,40.1,49.6,44.3825
351,University of Stirling,9250,15.8,23,63,23.6,25.3,75.5,35.2,82.1,44.3575
351,Swinburne University of Technology,14379,27.9,27,36,24.5,28.9,66.5,41,79.3,42.9425
351,Taipei Medical University,5973,10.2,10,57,28.7,31.8,67.9,94.9,38,43.7425
351,TU Dortmund University,34267,108.8,10,45,37.6,41.4,54.2,45.8,42.2,44.27
351,University of Turku,12785,16.3,6,63,27.1,30.8,73.5,37.3,52.6,44.2975
351,Université de Versailles Saint-Quentin-en-Yvelines,16621,21.2,15,59,17.3,21.1,89.9,35.4,64.2,44.19
351,Vienna University of Technology,10464,19.9,29,29,38.4,36.8,45.5,63.7,84,44.1025
351,Washington State University,27957,18.1,7,52,30.7,28.6,71.8,48.4,49.3,44.2375
351,Wayne State University,22295,11.3,9,55,33.3,18.1,83.3,45.4,37.6,44.365
351,Wuhan University,52502,14.6,7,,44,34,52.5,84.7,40.4,44.2975
401,Aberystwyth University,6866,16.2,19,49,24.8,22.9,66.3,39.7,78.1,41.05
401,University of Alabama,35120,22.5,4,56,26.9,22.4,77.4,35.3,28.9,41.06
401,American University,11750,11,12,65,40.9,19.5,65.7,39.1,32.3,41.23
401,Aswan University,22393,40.8,0,59,11.9,8.7,100,34.4,44.6,40.385
401,Bangor University,9590,16.3,23,58,22.4,20.7,66.3,35.7,81.8,39.8475
401,University of Bari Aldo Moro,29564,20.5,1,61,16.7,17.1,87.3,36.2,32.2,39.65
401,Bond University,3341,10.3,43,54,21.1,19.6,64.6,35.9,89.2,39.1775
401,University of Bordeaux,54965,21.6,13,58,30,22.7,66.8,36.4,58.4,41.14
401,Bournemouth University,13692,17.1,18,55,33.2,18.7,55.5,34.8,79.8,39.075
401,Universiti Brunei Darussalam,3830,10.9,15,67,23,19.3,74.4,34.8,85.8,42.315
401,Cankaya University,9164,28.4,2,45,14.9,11.4,99.7,34.9,43.2,41.9125
401,Centrale Nantes,1706,16.1,45,26,30.4,29.6,48.6,83.2,84.1,40.9675
401,Central South University,51546,18.4,2,,32,33.9,56,84.1,26,40.6225
401,Charles University in Prague,48623,12.7,18,62,32.9,25.9,53,34.8,58.7,38.8125
401,"City, University of London",14362,18.5,51,56,26.1,27.8,57.7,35.5,94.9,41.485
401,"Colorado State University, Fort Collins",26014,16.3,6,53,27.8,25.3,64.1,38.4,38.4,39
401,University of Côte d’Azur,36706,23,23,55,30,18.3,68.5,40.4,83.2,42.29
401,Covenant University,8768,15.7,0,43,27.2,14.7,78.4,43.8,26.2,39.15
401,University of Cyprus,6635,22,11,66,24,24.6,62.3,47.7,81,40.5375
401,University of Desarrollo,15384,19,4,56,13.5,8.8,99.1,36.8,48.1,40.9475
401,Diego Portales University,17287,14.9,2,49,14.7,10.5,95.3,34.4,50.4,40.79
401,Drexel University,19801,11.1,17,50,35.8,20.4,64.7,41.5,50.3,41.08
401,University of Eastern Finland,11630,18.5,6,64,24.7,27.9,70.7,39.2,50.2,41.735
401,École des Mines de Saint-Étienne,973,8.1,25,28,35.5,11.7,64.3,47.8,68.5,39.7825
401,Edith Cowan University,17560,31.3,26,60,18.7,21.9,67.8,39.1,82.9,39.715
401,Federal University of Toulouse Midi-Pyrénées,103857,19.2,14,54,28.5,25.9,60.6,37,63,40.15
401,University of Ferrara,14644,25.2,7,56,21,20.2,75,40.3,45.5,39.28
401,Free University of Bozen-Bolzano,3891,12,13,67,20.6,13.1,77.9,35.4,76.4,40.095
401,Fujita Health University,2942,3.2,0,55,24.5,9.7,91.1,36.8,18.6,39.905
401,University of Genoa,23977,19.5,9,55,32.1,23.1,63.8,42.9,43.9,40.065
401,University of Georgia,35164,16.3,7,57,34.9,35.8,55.8,37.2,46,42.33
401,Georgia State University,29290,14.4,6,61,33.9,27.2,62.9,35.4,41.9,41.2275
401,Gwangju Institute of Science and Technology,2098,12.1,6,25,40,39.3,39.3,57,33.9,39.5475
401,Harbin Institute of Technology,29603,9.9,12,32,39.5,36.8,44,99.3,36.7,41.325
401,Hokkaido University,18225,8.1,11,31,45.7,40.1,30,58.7,39.2,39.1475
401,Hong Kong Baptist University,8759,11.6,45,65,27.9,22,58.1,38.4,97.6,40.68
401,University of Houston,44128,25.7,9,50,33.6,25.9,58,36.8,42.5,39.3575
401,Hunan University,40715,20.4,2,46,23.6,24.1,74.9,52.6,22.4,39.775
401,Indian Institute of Technology Bombay,10267,16.1,1,19,44.7,39.6,34.9,80.3,21,39.3425
401,Indian Institute of Technology Delhi,7284,14.8,1,20,48.5,27.9,49,73.9,17.6,40.7875
401,Indian Institute of Technology Kharagpur,9167,12.3,0,18,41.3,38.9,39,91.9,18.8,39.4675
401,University of Innsbruck,14128,12.6,40,53,27.6,21.8,62,43.1,97.4,41.8025
401,ITMO University,10206,13.1,16,37,30.6,28,49.8,84.6,62.1,39.2925
401,University of Kansas,24526,9.9,9,52,36.9,22.6,68.3,43.5,35.4,42.0825
401,University of Kentucky,27078,12.4,4,55,37,24.9,55.5,38.4,38,39.03
401,University of KwaZulu-Natal,36660,29.2,4,58,25.4,28.7,70.1,36.8,55,42.305
401,Kyushu University,18643,8.8,13,28,44.2,39.2,34.3,75.3,38.8,40.1025
401,Leibniz University Hanover,27625,54,14,40,36.8,29.9,46.1,52.3,48.6,38.7925
401,Linköping University,18544,11.2,12,53,22.7,23.6,75.4,48.1,59.3,42.16
401,Liverpool John Moores University,19461,17.4,14,53,17.7,17.5,78.2,34.9,71.8,40.2775
401,Mansoura University,140126,24.9,3,55,19.1,9.2,88.1,39.6,44.3,39.2325
401,Middlesex University,15649,18,45,60,19.4,17.3,74.2,34.6,88.3,40.7575
401,University of Milan-Bicocca,26509,28.9,6,62,23.7,20.2,80.7,39.1,44.3,41.68
401,University of Missouri-Columbia,28513,13.3,6,53,34.9,24.2,65.7,35.5,39.9,41.32
401,University of Missouri-St Louis,7019,16,6,58,30,24.7,70.3,40.4,40.6,41.555
401,University of Modena and Reggio Emilia,17432,24.8,6,54,32.1,19.7,69.3,43.5,39.2,40.3575
401,Murdoch University,14905,27.7,37,60,18.5,24.9,61.9,51,90.8,39.675
401,National Research Nuclear University MEPhI,6489,10.8,24,31,37.5,36.1,33.6,100,63.7,39.4375
401,University of Nebraska-Lincoln,24610,17.2,11,48,30.1,28,63.2,38.6,56.7,41.6075
401,New Mexico Institute of Mining and Technology,1809,11.3,8,30,22.3,14.6,70.6,78.1,62.9,38.92
401,Norwegian University of Science and Technology,35181,15.8,8,48,26.2,28.3,64.3,38.5,62.2,41.2675
401,Oklahoma State University,21494,15.8,7,50,24.1,21.5,71.1,36.9,44.3,39.255
401,University of Pavia,24623,41.5,8,56,24.6,25.7,65.5,55.5,47,39.6525
401,University of Peradeniya,17482,10.8,1,61,16.5,7.6,100,35.4,43.3,41.3625
401,University of the Philippines,39877,8.4,1,58,24.1,17.2,86.9,39.4,37.9,42.2875
401,Polytechnic University of Bari,6122,24.4,1,33,17.3,22.1,84.1,37.1,30.9,40.295
401,Pontifical Javeriana University,30048,15.4,1,55,15.3,8.9,98.6,34.8,44.6,41.055
401,University of Porto,32020,18.7,15,55,27.4,27.9,62.1,38.7,53.9,40.23
401,University of Portsmouth,20186,15.4,26,45,17.8,16.2,71,34.9,87.7,38.95
401,Qatar University,15585,17.3,38,76,19.6,27.2,64.7,49.3,99.6,42.1525
401,Quaid-i-azam University,14694,24.8,1,57,20.5,18.6,81.5,34.4,45.5,40.4525
401,Rensselaer Polytechnic Institute,7798,15.6,20,32,30,28.7,58.9,67,52.1,40.8625
401,Royal Veterinary College,2067,10.9,19,78,27.2,18.3,69.1,43.5,86.6,41.9625
401,Sabancı University,3605,21.5,9,37,27.8,35.3,55.8,65.4,52,41.205
401,University of St Gallen,7579,11.8,34,35,30.6,19.6,59,43.4,95.7,41.0225
401,University of Saskatchewan,17194,17.7,20,56,35.9,26.9,48.1,59.2,72.6,40.195
401,Sciences Po,11915,45.1,34,60,29.8,27,56.8,38.2,76,40.735
401,Sejong University,12119,17,10,47,23.4,20.8,75.4,40,42.6,40.075
401,Semmelweis University,10996,9.8,31,68,26.2,12.3,74,36.2,75,40.28
401,University of Siena,12636,14.8,8,59,37.9,21.6,67.6,37.5,43.1,42.3
401,SOAS University of London,5194,12.1,53,65,41.9,37.7,31.2,34.4,79.5,40.0625
401,University of South Carolina-Columbia,32291,16.2,5,55,33.2,25.5,63.7,36.2,43.2,40.865
401,University of Strasbourg,46898,18.8,20,58,28.7,21.1,62.3,37.7,71.9,39.965
401,University of Strathclyde,18517,19,27,50,28.3,31.6,51.9,43.6,86.2,41.095
401,Technion Israel Institute of Technology,14703,21.8,5,36,32.4,31.5,56.8,36.5,63.7,41.9
401,Teikyo University,22873,16.7,2,34,14.8,10.8,95.9,36.5,19.2,38.8025
401,University of Texas at San Antonio,24435,24.5,4,51,18.1,21.1,78,36.2,36.4,38.795
401,Tokyo Medical and Dental University (TMDU),2999,3.3,9,49,45.2,24.2,58.1,63.1,27.1,41.86
401,Tongji University,35690,13.1,13,45,35.5,43.6,34.6,98.2,56,40.765
401,University of Trieste,15933,23.5,8,55,30.1,22.7,66.9,37.7,47.8,40.4375
401,University of Tsukuba,16844,13.6,21,39,43.3,37.2,34.4,44.6,44.3,38.9075
401,University of Tulsa,5067,12.4,16,45,33.5,16.2,68.9,50.5,39.6,39.8125
401,University of Turin,55957,29.6,8,61,22.6,27.3,75.3,45.4,44.3,42.0175
401,UiT The Arctic University of Norway,16475,13,10,59,21.5,18,80,36,64.5,41.5875
401,University of Urbino Carlo Bo,14278,39.6,6,61,17.1,14.6,88.4,37.4,49.8,40.7
401,University of Valencia,50311,14.9,12,62,24.6,20.8,70.8,37,47,39.31
401,Verona University,19873,27.5,5,64,31.5,20.3,63.7,42.4,41.2,38.8
401,University of Victoria,21169,25.7,20,55,23.6,15.9,70.1,44.9,87.2,40.5425
401,Yasouj University,6332,27.5,0,46,15.1,15.5,91.8,35.7,15.6,38.7825
401,York University,46683,35.4,24,57,28.2,37.6,50.7,45.4,75,41.71
501,University of Alabama in Huntsville,6729,16.3,8,43,22.2,22.4,58.1,68.4,44.9,35.8875
501,Amirkabir University of Technology,11580,21.6,2,35,34.2,31.8,43.2,76.5,21.9,36.315
501,University of L’Aquila,18867,55.3,4,57,30.8,18.7,65.4,41.4,32.3,37.9275
501,Aston University,11113,21.1,26,48,21,24.2,55.1,37.1,92.4,37.9475
501,Universidad Autónoma de Chile,23312,26.2,1,65,12.3,8.9,81.6,34.4,50.7,35.5025
501,Bar-Ilan University,16723,17.5,5,60,29.9,36.5,44.2,46.6,52.9,38.3125
501,Beihang University,29952,13.7,6,,30.4,34.2,38.1,98.2,28.7,35.4175
501,Bilkent University,10374,14.5,9,46,24.5,24.7,53.1,55.1,62.8,36.7775
501,"Binghamton University, State University of New York",17848,23.3,14,49,22.8,21.9,62,36.8,42.7,36.1325
501,Université Bourgogne Franche-Comté (UBFC),59858,32.9,11,53,23.2,13.8,71.1,38.6,52.3,37.3175
501,University of Brescia,14206,27.2,7,46,15.4,17,71.2,38.1,43.1,35.265
501,University of Campinas,28795,15.1,3,47,44.6,38,34.8,44.8,30.6,38.635
501,Carleton University,27570,29.7,21,48,20.2,27.2,57.1,36.1,69,37.4275
501,University of Catania,25392,20.4,2,57,33.1,17.7,67.6,36.9,29.8,38.6775
501,Catholic University of the Sacred Heart,28725,21.6,7,65,18.4,20.9,72.6,44.8,45.3,38.0875
501,CentraleSupélec,4226,10.2,29,22,29.4,21.1,48.9,60.9,81.8,37.4775
501,Charles Darwin University,6314,22.8,32,66,19.9,24.3,51.4,45.2,81.1,35.8925
501,Institute of Chemical Technology,2146,18.2,0,34,38.3,24.1,47.1,77.4,14.4,35.865
501,"China Medical University, Taiwan",7603,16.5,8,54,25.8,32.4,45.9,87.7,31.4,35.7775
501,Chung-Ang University,16681,22.1,18,,37.9,37,25.2,64.6,49.7,35.3725
501,Claude Bernard University Lyon 1,26875,12.7,13,53,26,24,58,38.6,56.7,37.6175
501,Complutense University of Madrid,62624,19.7,13,61,35.4,28.9,47.2,36.1,44,37.6525
501,East China Normal University,25747,11.5,17,65,30.5,23.5,50.5,50.6,58.4,36.995
501,Florida International University,34203,23.8,8,57,30.4,22.6,62.3,38,39.7,38.5175
501,University of Graz,20312,21.9,13,65,22.9,18.3,56.1,35.8,76,35.785
501,Graz University of Technology,6370,10,20,23,30.5,17.5,50.1,71.5,78.2,37.0825
501,University of Greifswald,10247,21.1,7,56,30,22.4,60.2,39.1,47,38.2825
501,University of Guelph,22165,29.1,9,59,26.2,29.4,47.4,48.6,57.7,36.4425
501,Hacettepe University,47035,22,4,56,28.4,13.1,70.5,37.5,25,36.4125
501,University of Haifa,16164,21,2,66,26.7,31.9,52.8,36.3,35.9,37.02
501,Hamburg University of Technology,5216,35.2,19,27,36.2,23.9,42.5,79.1,52.7,36.71
501,University of Hull,14047,18.2,19,53,22.3,23,56.1,36.3,76.5,37.065
501,University of Ibadan,26648,16.4,1,48,23.4,12.1,77.6,41.4,37.1,37.7475
501,University of Idaho,9694,17,8,48,33.3,21.1,53.4,36.2,45.9,36.6875
501,Indian Institute of Technology Gandhinagar,1222,11.2,0,22,21.1,11.5,76,45.1,28,35.8075
501,Indian Institute of Technology Roorkee,7561,16.4,2,16,38.9,28.2,46.6,72.5,16.5,37.16
501,University of Insubria,7646,22.1,6,55,18.5,19.5,72.1,36.6,40.2,36.96
501,University of Jyväskylä,10200,15,5,61,26.7,30.8,54.3,35.8,50.7,38.2375
501,Kansai Medical University,841,1.1,3,38,32.3,8.7,70,35.6,17.7,35.5175
501,University of Kashan,8438,27.4,3,53,19.6,18.2,75.2,35.6,18.7,36.1925
501,Keele University,9004,15,19,56,20.3,22.4,64.1,35.5,73.8,38.4625
501,King Fahd University of Petroleum and Minerals,6882,6.8,13,0,27.2,15.9,51.7,64.4,78.7,35.9525
501,King Saud University,38971,10.4,10,59,24.6,25.8,49.6,83.4,80.3,38.1075
501,King Saud bin Abdulaziz University for Health Sciences,11708,6.9,1,52,29.9,7.7,67.1,35.8,68.5,37.4425
501,Koç University,5381,15.6,6,51,26.9,34.4,49.2,60.2,49.7,38.3825
501,Lappeenranta-Lahti University of Technology LUT,3851,28.2,19,31,28.3,30.1,43.1,53.8,61.5,36.4075
501,University of Limerick,14221,21.7,17,48,20.1,23.5,54.6,39.2,83.7,36.7175
501,Lincoln University,2476,13.5,39,49,24.4,19.9,47.9,51.5,94.2,36.0125
501,University of Lisbon,47886,17.7,12,52,25.2,29.8,52.7,39.2,53.8,37.325
501,Louisiana State University,29169,20.7,6,52,34.5,26.3,55.3,35.4,35.5,38.3775
501,Marche Polytechnic University,10603,20.7,4,48,22.1,18.9,65.8,40.8,31.2,35.4
501,Mashhad University of Medical Sciences,9134,10.6,3,60,28.1,12.3,73,34.5,19.9,36.375
501,Massey University,18653,16.2,31,62,22.9,18.9,49.1,41.5,92.8,35.2675
501,Memorial University of Newfoundland,15127,13.7,18,57,20.5,19.9,57.7,61,74.1,36.5125
501,Missouri University of Science and Technology,8084,22.2,14,23,24.2,24.6,59.2,52.9,66,38.6725
501,National and Kapodistrian University of Athens,57697,28.4,10,62,21.8,15,72.9,55.4,52,38.195
501,National Chiao Tung University,12017,16.7,12,30,35.8,43.3,25.6,87,35.9,36.2775
501,National Taiwan University of Science and Technology (Taiwan Tech),8340,19.5,15,30,29.7,41.8,39.5,62.2,40,37.855
501,National Yang-Ming University,4258,5.1,2,48,38.7,18.8,60,38.1,21.5,37.815
501,University of Nebraska Medical Center,3041,2.3,7,68,35.8,12.1,57.5,38.1,43.5,35.835
501,University of Neuchâtel,4284,12.8,22,60,23.7,29.3,48.3,37.2,90.4,38.1
501,New Jersey Institute of Technology,9279,15.1,17,25,21.3,19.2,58.2,36.7,76.8,36.2875
501,Northern Arizona University,29684,28.1,5,60,20.2,14.7,82.3,35.1,31.5,38.4
501,North-West University,36749,29.9,4,62,20.1,17.1,69.9,41.1,43.3,36.405
501,Norwegian University of Life Sciences,5790,6.9,21,59,26.5,10.5,66.2,39.9,78.4,37.8375
501,Novosibirsk State University,7123,6.2,20,,42.8,31.9,30.3,35.7,43.8,35.6775
501,The Open University,61915,32.3,8,62,18.2,16.1,66.5,34.8,57,35.385
501,Open University of Catalonia,22962,84.5,2,56,16.5,14.2,74.2,35.8,40.2,35.38
501,Universidad Peruana Cayetano Heredia,6236,10.6,0,66,17,11.3,83.1,34.7,46.4,37.7675
501,Peter the Great St Petersburg Polytechnic University,18251,9,28,39,26.2,15.9,61.8,71.2,52.6,36.895
501,University of Plymouth,17667,17.2,15,55,20.3,19.3,67.5,35,70.3,38.2775
501,Polytechnic University of Turin,31425,35.8,13,28,26.2,25.4,55.3,50.8,46.5,36.8275
501,Pontifical Catholic University of Chile,28541,15,7,,24.2,28.3,48.6,64.5,57.1,36.225
501,Renmin University of China,25590,12.5,6,,42.5,21.2,47.4,43.9,42.5,37.615
501,University of Rhode Island,16569,19.3,3,57,23.9,17.7,66,34.4,35.4,35.795
501,University of Rome II – Tor Vergata,34965,19.9,11,52,23.2,17.8,67.1,37.2,51.3,37.2075
501,University of Rome III,31696,50.1,5,59,23.4,22.7,61.2,40.4,41.4,36.305
501,University of Rovira i Virgili,12411,12.3,11,59,23.7,21,67.6,36.6,51.1,38.4375
501,San Diego State University,30799,30.5,8,55,23.7,24.4,62,35.1,33.9,36.45
501,Sharif University of Technology,9260,19.8,2,26,28.9,36.7,41,99.8,23.7,36.2525
501,Shenzhen University,35171,15.5,1,48,22.3,22.8,70.4,51.4,34.9,38.5525
501,University of Siegen,19268,42.3,12,50,21.3,25.3,57.1,40.2,54.4,36.195
501,Soochow University,44835,16.4,7,54,23.4,20.8,68.2,37.5,28.3,36.78
501,South China University of Technology,41139,13.9,5,38,24,29.1,61.2,85.4,30.8,38.735
501,Southeast University,32951,11.6,5,40,29.6,33.4,42.7,97.3,26.9,36.16
501,Suez Canal University,35363,10.8,1,58,19.9,8.7,82.6,37.9,46,37.7575
501,Tehran University of Medical Sciences,12511,6.9,7,58,44.5,16,48,59.3,22.8,35.7425
501,Tianjin University,34780,14,6,,32.7,35.7,38.8,97.9,26.5,36.595
501,Tomsk State University,7655,11.9,29,,41,33.7,23.4,53,71.6,36.125
501,Universiti Tunku Abdul Rahman (UTAR),18763,16.1,2,52,14.8,12.2,81.4,38,30.3,35.7425
501,University of Udine,11793,17.8,7,53,26.2,16.1,68.7,38,41.5,37.3625
501,Victoria University of Wellington,17442,18.9,21,56,23,31.8,45.5,57.2,88.7,38.1725
501,University of Waikato,9892,18.1,19,58,20.8,26.3,48.8,43.4,86.2,36.32
501,The University of the West Indies,23305,22.2,1,71,17.8,11.1,73.4,38.9,57.2,35.9525
501,University of the West of Scotland,11730,22.4,21,59,13.9,13.9,76.8,35,74.6,37.85
501,University of Wisconsin-Milwaukee,20874,19.3,6,53,21.7,22.7,66.9,36.2,33.2,36.785
501,University of Wuppertal,23343,55.8,11,52,25,17.9,60.2,44.5,51.2,35.8825
501,Xiamen University,40841,14.6,4,47,27.3,22.9,57.1,53.3,31.5,35.885
501,Xi’an Jiaotong University,36557,12.5,6,32,35.1,30.7,41.3,61.4,39.1,36.5975
501,Yokohama City University,4910,4.5,2,56,25.9,8.5,86.2,40.3,20.3,38.71
601,Åbo Akademi University,5295,17.5,16,,22.6,29.2,33.1,38.5,66.9,31.45
