rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
69,Erasmus University Rotterdam,23167,20.4,23,51,39.4,57.3,97.1,63.6,87.3,66.2775
70,Ohio State University (Main campus)  ,54372,12.5,13,50,57.5,56.1,87.3,53.3,59.5,66.065
71,UNSW Sydney,44336,35.7,41,47,50.2,58.2,82.9,57.9,93.7,65.865
72,McMaster University,24412,28.1,17,55,44.5,50.1,94.8,94,82.7,65.3725
73,University of Groningen,27228,23.8,21,51,42.3,55.6,91.6,79.8,82.5,65.0325
74,Humboldt University of Berlin,33463,56.1,17,,61.8,66.8,67.9,40.2,67.8,65.04
75,Monash University,52989,33.9,39,57,47.3,56.6,83.8,67.2,89.9,64.7325
75,Utrecht University,31833,14.2,9,59,44.1,61.2,88.4,65.3,65.5,64.655
77,University of Warwick,20599,13.2,41,49,46.9,52.7,88.8,42.8,93.8,64.625
78,Penn State (Main campus)  ,46204,15.3,16,46,55.2,67.1,75.7,52.1,47.4,64.2575
79,University of Minnesota,61120,12.4,11,52,55.2,59.3,82.7,78.2,40.2,64.13
80,Charité - Universitätsmedizin Berlin,7076,17.6,19,64,47.6,47.3,94.9,92.7,63.5,64.02
80,Emory University,12735,4,20,58,56,40.4,98.8,45.4,57.9,64.0375
80,University of Science and Technology of China,16245,7.7,4,,64.6,59.5,74.7,79.6,31.3,63.9775
80,Sorbonne University,43076,13.5,19,58,62.3,50.6,79.9,38.4,69.2,63.99
84,Michigan State University,44789,16.5,16,51,56.6,57.4,80,37.8,63.3,63.8925
85,University of Montreal,36794,20.2,22,,48.2,49.7,86.4,70,84.1,63.3475
86,University of Freiburg,21475,42.8,23,54,49.1,51.6,83.1,100,75.7,63.3175
87,University of Bristol,21783,13.6,27,54,41.8,48.4,95.5,40.9,86.6,63.2275
88,Purdue University West Lafayette,40451,15.7,23,43,57.5,66.4,63,64.3,72,63.0775
89,Sungkyunkwan University (SKKU),23342,19.5,15,43,57.6,61.2,70.3,97.3,51.1,62.995
90,University of Zurich,22609,12.3,21,57,47,46.7,88.2,53,92.2,62.81
91,"University of Maryland, College Park",33108,16.6,11,48,46.9,59.1,89.6,39.2,41.2,62.75
91,University of Tübingen,27901,37.5,14,58,51.2,56.2,80.1,67,64,62.725
93,École Polytechnique,3030,5.7,40,22,59.6,49.1,70.2,69.6,95.2,62.55
94,University of Basel,11518,15.8,27,56,43,41.2,91.4,99.4,96.1,62.3725
94,Dartmouth College,6247,7.7,15,49,58.4,39.9,96.4,41,39.6,62.405
96,"University of California, Irvine",32706,16.5,26,52,43.3,46.5,94.9,58.9,71.9,62.275
96,University of Helsinki,22072,16.6,5,66,43.4,59.3,88.1,38.1,55.1,62.325
96,Lund University,27266,12.1,19,54,40.7,54.3,86.3,81,77.7,62.2425
99,University of Glasgow,25357,15.4,37,59,41.1,47.9,91.8,40,92.3,62.1625
99,RWTH Aachen University,45377,61.1,21,32,55.6,61.5,67.3,98.1,59,62.1975
101,University of Copenhagen,31219,4.3,17,57,48.1,44.1,89.6,48.1,85.4,62.1475
102,Georgetown University,16279,8.5,18,54,57.3,37.9,93.9,62.5,47.2,61.8325
102,Uppsala University,25438,16.7,15,57,41.6,56.4,85,74.6,68.1,61.8725
104,University of Arizona,39124,18.4,10,52,52.6,53.7,85.3,52.7,40.2,61.8125
